"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1782",0.104814193871209,-2.48020861635592,0.0565795236118457,0.0961262999151859,100,"Simulation 3",1,100,0.52685,0.187335642442363,0.5156,0.522985,0.16998009,0.1074,0.9801,0.8727,0.222464943213037,-0.101249581888389,0.0187335642442363
"X1783",-0.0181269752917755,-2.08023085573382,0.050025394055782,0.0697577263476453,100,"Simulation 3",1,100,0.487791,0.214776372350876,0.46545,0.4838325,0.20200425,0.0108,0.9934,0.9826,0.101334785317058,-0.219244014206177,0.0214776372350876
"X1784",-0.0632821729476134,-2.56651076509061,0.0503007105772366,0.0867815286981409,100,"Simulation 3",1,100,0.468446,0.190269627623432,0.4693,0.4666325,0.20511771,0.0397,0.964,0.9243,0.11339690860531,-0.21298935695215,0.0190269627623432
"X1785",-0.00749524914282501,-2.80447181422238,0.0387405171986155,0.0709918796374033,100,"Simulation 3",1,100,0.502233,0.188287944680803,0.5185,0.50467875,0.2216487,0.0148,0.8775,0.8627,-0.134993468580911,-0.655542040530194,0.0188287944680803
"X1786",0.0760577951615055,-2.81196671582848,0.035940831798462,0.0710870358831191,100,"Simulation 3",1,100,0.515294,0.177281085843865,0.523,0.51937125,0.19006932,0.0287,0.8731,0.8444,-0.219855469242107,-0.410300844751094,0.0177281085843865
"X1787",-0.0104742204348176,-2.27817790253846,0.0518009776218923,0.0724308126291667,100,"Simulation 3",1,100,0.494904,0.219490075668974,0.49715,0.492135,0.17383485,0.0119,0.9748,0.9629,0.0997041255049474,-0.276868177527133,0.0219490075668974
"X1788",0.0919238101013655,-2.36635742991019,0.0467923213974065,0.0786215150233031,100,"Simulation 3",1,100,0.536197,0.188278342443663,0.5279,0.53140375,0.19844601,0.1473,0.9891,0.8418,0.209875071621767,-0.442072419662179,0.0188278342443663
"X1789",0.0306474719023301,-2.44539895409362,0.037761321458635,0.0633697049394497,100,"Simulation 3",1,100,0.531647,0.197812538262718,0.54485,0.53454,0.17828265,0.0358,0.956,0.9202,-0.170372956086326,-0.306901087313055,0.0197812538262718
"X1790",0.0485964478187976,-2.4607652478984,0.041339723995615,0.0670651961294937,100,"Simulation 3",1,100,0.537853,0.204444598435109,0.5626,0.5413775,0.18280458,0.0946,0.9612,0.8666,-0.218569195273415,-0.412576215934279,0.0204444598435109
"X1791",-0.0208365165751546,-2.29497927750246,0.0362765237817545,0.0564823477720915,100,"Simulation 3",1,100,0.487412,0.210739358996612,0.5084,0.49485625,0.18339762,0.0222,0.9174,0.8952,-0.322211872695432,-0.55506191738178,0.0210739358996612
